ID,LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,ZONA,CIUDAD,PROVINCIA,PAIS,tipo_operacion,tipo_inmueble,precio_venta,precio_alquiler,
621Q9C,281,338,0,2,3,20,1,Jardines del Bosque Norte,Guadalajara,Jalisco,Mexico,venta,Casa,7500000,0,
EB-UG4871,626,510,0,8,11,35,1,Americana,Guadalajara,Jalisco,Mexico,venta,Casa,19500000,0,
60ICAO,306,393,0,5,5,30,1,Fraccionamiento Jardines Alcalde,Guadalajara,Jalisco,Mexico,venta,Casa,10250000,0,
EB-TN8198,115,233,0,1,4,42,0,Fraccionamiento Colón Industrial,Guadalajara,Jalisco,Mexico,venta,Casa,4490000,0,
606NNE,190,198,1,1,1,10,0,Americana,Guadalajara,Jalisco,Mexico,venta,Casa,6500000,0,
5S66CB,205,205,0,2,3,A estrenar,1,Jardines del Bosque,Guadalajara,Jalisco,Mexico,venta,Casa,8669200,0,
62EQ9N,175,218,0,2,4,20,0,Independencia,Guadalajara,Jalisco,Mexico,venta,Casa,5600000,0,
EB-RL0311,521,349,0,2,4,55,1,Fraccionamiento Lomas Del Country,Guadalajara,Jalisco,Mexico,venta,Casa,13000000,0,
61KKOC,0,0,0,0,0,0,0,San Mateo Acatitlán,Valle de Bravo,Edo. de México,Mexico,,Desarrollo horizontal,0,0,
NEX-252135,220,145,0,2,3,A estrenar,1,Fraccionamiento Las Américas,Mérida,Yucatán,Mexico,venta,Casa,2860000,0,
5ONN12,0,0,0,0,0,0,0,Plutarco Elias Calles Cura Hueso,Villahermosa,Tabasco,Mexico,,Desarrollo horizontal/vertical,0,0,
RCS-QHO7254659,535,535,0,3,4,A estrenar,0,Altozano el Nuevo Querétaro,Querétaro,Querétaro,Mexico,venta,Casa,22950000,0,
62FH1M,0,0,0,0,0,0,0,Urbivilla de Prado,Tijuana,Baja California Norte,Mexico,,Desarrollo horizontal,0,0,
EGM,2250,1783,0,6,4,10,1,El Campanario,Querétaro,Querétaro,Mexico,venta,Casa,75000000,0,
62FLIJ,460,377,0,4,3,15,1,Puerta de Hierro,Zapopan,Jalisco,Mexico,venta,Casa,21550000,0,
MC-721,250,264,0,3,3,A estrenar,0,Fraccionamiento Lomas de Cocoyoc,Atlatlahucan,Morelos,Mexico,venta,Casa,4800000,0,
EB-UC9830,938,588,0,6,5,50,1,Jardines del Pedregal,Alvaro Obregón,Ciudad de México,Mexico,venta,Casa,23500000,0,
581538--297,200,320,0,2,3,6,1,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,7800000,0,
EB-UO6253,235,385,0,2,4,A estrenar,0,Lomas de Angelópolis,San Andrés Cholula,Puebla,Mexico,venta,Casa,10500000,0,
62EP4T,198,223,0,3,3,2,0,Bosques de Santa Anita,Tlajomulco de Zúñiga,Jalisco,Mexico,venta,Casa,5992000,0,
5TPQRP,170,144,0,2,2,2,1,Hacienda Valbuena,León,Guanajuato,Mexico,venta,Casa,3700000,0,
CV-9226,298,279,0,2,3,A estrenar,1,Temozón Norte,Mérida,Yucatán,Mexico,venta,Casa,6295000,0,
550727--398,568,772,0,5,6,18,1,La Herradura,Huixquilucan,Edo. de México,Mexico,venta,Casa,17990000,0,
CHO7344737,96,182,0,2,3,A estrenar,1,Manuel Nieto,Boca del Río,Veracruz,Mexico,venta,Casa,2990000,0,
62TSPA,600,500,0,6,6,A estrenar,1,El Álcazar,Zapopan,Jalisco,Mexico,venta,Casa,31354045,0,
EB-TW1528,200,400,0,2,3,30,0,Irrigación,Miguel Hidalgo,Ciudad de México,Mexico,venta,Casa,17500000,0,
MX23-PP1812,270,204,0,2,4,A estrenar,1,Fraccionamiento Burgos Bugambilias,Temixco,Morelos,Mexico,venta,Casa,4600000,0,
MUELLE62,400,1120,0,5,5,1,1,Ciudad de Cancún,Cancún,Quintana Roo,Mexico,venta,Casa,55650000,0,
62ARSE,96,67,1,1,3,5,1,Ciudad Integral Huehuetoca,Huehuetoca,Edo. de México,Mexico,venta,Casa,950000,0,
EB-TY7355,170,378,0,2,4,6,0,Cumbres Elite,Monterrey,Nuevo León,Mexico,venta,Casa,13800000,0,
EB-UD6593,300,350,0,4,4,20,1,Hacienda de las Palmas,Huixquilucan,Edo. de México,Mexico,venta,Casa,11800000,0,
ALP,45,77,0,1,3,9,1,Real Solare,El Marqués,Querétaro,Mexico,venta,Casa,1650000,0,
NN-GM1000490,90,157,0,2,3,A estrenar,0,Cuautlancingo,Puebla,Mexico,venta,Casa,2875000,0,,
61CR2M,184,232,0,1,3,5,0,Residencial Sierra Nogal,León,Guanajuato,Mexico,venta,Casa,4500000,0,
2816c1,120,180,0,2,3,A estrenar,1,Zaragoza,Puebla,Mexico,venta,Casa,2450000,0,,
